Dataset,Solver,WarmStart,C,Rho,Objective_Base,Objective_Screen,Objective_p-value,Accuracy_Base,Accuracy_Screen,Accuracy_p-value,AUC_Base,AUC_Screen,AUC_p-value,F1_Base,F1_Screen,F1_p-value
svmguide1,CVXOPT,True,0.1,0.0,75.1814 ± 0.9216,75.1815 ± 0.9216,4.999923057746206e-56,0.8577 ± 0.0144,0.8577 ± 0.0144,3.6426956036218435e-33,0.9362 ± 0.0079,0.9362 ± 0.0079,2.1932654919125526e-71,0.8912 ± 0.0108,0.8912 ± 0.0108,3.5959963941108916e-38
svmguide1,CVXOPT,True,0.1,0.05,85.1821 ± 0.9159,85.1822 ± 0.9159,1.3476305993578192e-56,0.8582 ± 0.0170,0.8574 ± 0.0176,6.821965881521497e-06,0.9361 ± 0.0088,0.9361 ± 0.0088,4.057813007206609e-68,0.8912 ± 0.0126,0.8907 ± 0.0129,3.225430099386018e-11
svmguide1,SCS,False,0.01,0.0,9.0140 ± 0.0832,9.0140 ± 0.0832,1.1450647132127114e-71,0.8392 ± 0.0136,0.8391 ± 0.0136,8.803601955037701e-29,0.9296 ± 0.0099,0.9296 ± 0.0099,7.306518567433807e-55,0.8781 ± 0.0103,0.8780 ± 0.0103,6.487597962307181e-33
svmguide1,SCS,False,0.01,0.05,9.7315 ± 0.0893,9.7315 ± 0.0893,5.745757547456901e-86,0.8316 ± 0.0139,0.8318 ± 0.0138,1.962534261261334e-27,0.9265 ± 0.0107,0.9265 ± 0.0107,5.66480102478917e-51,0.8745 ± 0.0104,0.8744 ± 0.0103,3.7659117792595636e-25
svmguide1,SCS,False,0.05,0.0,39.0539 ± 0.4329,39.0539 ± 0.4329,3.0460809508482205e-61,0.8586 ± 0.0164,0.8587 ± 0.0163,1.3836423311215042e-37,0.9359 ± 0.0082,0.9358 ± 0.0082,1.4556864818426238e-64,0.8916 ± 0.0113,0.8917 ± 0.0113,1.1561450282002145e-39
svmguide1,SCS,False,0.05,0.05,43.6601 ± 0.4460,43.6601 ± 0.4460,1.3164271002787896e-56,0.8562 ± 0.0173,0.8562 ± 0.0173,0.0,0.9351 ± 0.0092,0.9351 ± 0.0092,3.7587851975973284e-61,0.8902 ± 0.0122,0.8902 ± 0.0122,0.0
svmguide1,SCS,False,0.1,0.0,75.1814 ± 0.9216,75.1815 ± 0.9215,1.1045211287611369e-51,0.8576 ± 0.0144,0.8575 ± 0.0145,8.803209081959587e-29,0.9362 ± 0.0079,0.9362 ± 0.0079,1.4121935213863272e-68,0.8912 ± 0.0108,0.8912 ± 0.0108,3.432284924805201e-47
svmguide1,SCS,False,0.1,0.05,85.1821 ± 0.9159,85.1822 ± 0.9159,4.4094792200262263e-54,0.8582 ± 0.0170,0.8583 ± 0.0170,1.3836423311242767e-37,0.9361 ± 0.0088,0.9361 ± 0.0088,2.0711187235893204e-66,0.8912 ± 0.0126,0.8912 ± 0.0126,1.1145038886840339e-42
svmguide1,SCS,True,0.01,0.0,9.0140 ± 0.0832,9.0140 ± 0.0832,1.1583322437313306e-75,0.8392 ± 0.0136,0.8393 ± 0.0137,8.803209081968475e-29,0.9296 ± 0.0099,0.9296 ± 0.0099,1.2225078864258322e-51,0.8781 ± 0.0103,0.8782 ± 0.0104,1.985200329122788e-32
svmguide1,SCS,True,0.01,0.05,9.7315 ± 0.0893,9.7315 ± 0.0893,8.175439745290706e-85,0.8317 ± 0.0139,0.8317 ± 0.0137,3.643026846124786e-33,0.9265 ± 0.0107,0.9264 ± 0.0107,6.851434043781648e-50,0.8744 ± 0.0104,0.8743 ± 0.0103,7.13775997828912e-24
svmguide1,SCS,True,0.05,0.0,39.0539 ± 0.4329,39.0539 ± 0.4329,1.6445282330477663e-65,0.8586 ± 0.0164,0.8587 ± 0.0163,1.3836423311215042e-37,0.9359 ± 0.0082,0.9359 ± 0.0082,3.318523147781674e-60,0.8916 ± 0.0113,0.8917 ± 0.0113,1.1561450282002145e-39
svmguide1,SCS,True,0.05,0.05,43.6601 ± 0.4460,43.6601 ± 0.4460,2.9723775577425863e-56,0.8562 ± 0.0173,0.8563 ± 0.0172,1.3836423311215042e-37,0.9351 ± 0.0092,0.9351 ± 0.0092,6.3048525474614934e-58,0.8902 ± 0.0122,0.8902 ± 0.0122,1.5849159440900353e-42
svmguide1,SCS,True,0.1,0.0,75.1814 ± 0.9216,75.1815 ± 0.9216,8.597746644085807e-62,0.8577 ± 0.0144,0.8576 ± 0.0144,1.3836423311242767e-37,0.9362 ± 0.0079,0.9361 ± 0.0079,1.0593434113429826e-73,0.8912 ± 0.0108,0.8912 ± 0.0108,1.6951906761296378e-42
svmguide1,SCS,True,0.1,0.05,85.1821 ± 0.9159,85.1822 ± 0.9159,1.8048776317801047e-57,0.8582 ± 0.0170,0.8575 ± 0.0175,2.0063575735117266e-06,0.9361 ± 0.0088,0.9361 ± 0.0088,3.992243938442591e-67,0.8912 ± 0.0126,0.8908 ± 0.0128,2.3558389180202193e-12
