Dataset,Solver,WarmStart,C,Rho,Method,Seed,Objective,Accuracy,AUC,F1,ScreeningRate,Time,ScreenTime,Iterations,Status
svmguide1,SCS,False,0.1,0.0,Baseline,7,74.78916428,0.85436893,0.93550459,0.8902439,0.0,2.11028504,0.0,10300,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,7,74.78916445,0.85436893,0.93550459,0.8902439,0.60222672,0.17398477,0.00358248,1625,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,7,84.57755465,0.83980583,0.93051606,0.87701863,0.0,0.51515532,0.0,2425,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,7,84.57798938,0.83980583,0.93065367,0.87701863,0.55718623,0.05761766,0.00334692,175,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,8,9.07406093,0.85760518,0.93922018,0.88746803,0.0,0.12238765,0.0,500,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,8,9.07406093,0.85760518,0.93922018,0.88746803,0.48532389,0.18659759,0.00615382,675,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,8,9.80681088,0.85113269,0.93905963,0.88295165,0.0,0.12458181,0.0,500,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,8,9.8068372,0.85113269,0.93891055,0.88295165,0.45445344,0.06758928,0.00259924,200,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,8,39.1227954,0.87216828,0.93799312,0.90062893,0.0,0.38080382,0.0,1900,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,8,39.12279456,0.87216828,0.93799312,0.90062893,0.57287449,0.11076903,0.00311351,725,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,8,43.85978238,0.88187702,0.94133028,0.9081761,0.0,0.23948669,0.0,1075,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,8,43.85982624,0.88187702,0.94137615,0.9081761,0.53137652,0.09181309,0.00404763,175,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,8,75.28078342,0.87055016,0.93682339,0.89873418,0.0,0.79485035,0.0,3975,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,8,75.28078348,0.87055016,0.93682339,0.89873418,0.59969636,0.13191223,0.00410008,850,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,8,85.45691255,0.87864078,0.94094037,0.90542245,0.0,0.2699132,0.0,1150,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,8,85.45691124,0.87864078,0.94094037,0.90542245,0.55364372,0.12155795,0.00240803,750,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,9,8.93802297,0.84466019,0.92809633,0.87434555,0.0,0.77573156,0.0,3925,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,9,8.93802297,0.84466019,0.92809633,0.87434555,0.49240891,0.22925806,0.00508118,925,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,9,9.65333507,0.83495146,0.92533257,0.86507937,0.0,0.17159295,0.0,725,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,9,9.65333505,0.83495146,0.92533257,0.86507937,0.46305668,0.15445232,0.00270414,875,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,9,38.6993751,0.84627832,0.93549312,0.87516426,0.0,1.22323179,0.0,6225,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,9,38.69937483,0.84627832,0.93549312,0.87516426,0.58046559,0.14353943,0.00327897,1150,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,9,43.25971345,0.84466019,0.93409404,0.87234043,0.0,0.42203903,0.0,1925,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,9,43.25971334,0.84466019,0.93409404,0.87234043,0.5409919,0.19730949,0.00470686,750,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,9,74.46519678,0.85760518,0.93490826,0.89346247,0.0,0.85797882,0.0,4300,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,9,74.46519687,0.85760518,0.93490826,0.89346247,0.60475709,0.12442088,0.00320363,950,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,9,84.4046516,0.84627832,0.93611239,0.87383798,0.0,0.24586558,0.0,1075,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,9,84.40465104,0.84627832,0.93611239,0.87383798,0.55769231,0.19351268,0.00583076,700,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,10,9.14344269,0.82686084,0.93102064,0.8771527,0.0,0.25678468,0.0,1125,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,10,9.14344272,0.82686084,0.93102064,0.8771527,0.48076923,0.15719318,0.00313449,1000,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,10,9.86476088,0.82847896,0.92889908,0.87816092,0.0,0.10330296,0.0,375,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,10,9.86481064,0.82847896,0.92923165,0.87788018,0.45394737,0.06243134,0.00272274,200,SUCCESS
