Dataset,Solver,WarmStart,C,Rho,ScreeningRate,Screen_Iterations,Baseline_Iterations,Iteration_Reduction_Ratio,OverheadTime_MeanStd,SolveTime_MeanStd,TotalScreeningTime_Mean_Std,Baseline_Time_Mean_Std,Speedup,p-value
phishing,SCS,True,0.05,0.05,0.8191,3238,6847,0.53,0.0194 ± 0.0047,1.3168 ± 0.2661,1.3363 ± 0.2689,11.3898 ± 6.1026,8.52x,1.863e-09
phishing,SCS,True,0.1,0.0,0.8328,6468,10647,0.39,0.0220 ± 0.0082,1.9810 ± 0.9171,2.0030 ± 0.9182,17.4794 ± 8.4962,8.73x,1.863e-09
phishing,SCS,True,0.1,0.05,0.8046,4380,9941,0.56,0.0210 ± 0.0086,1.8681 ± 1.6701,1.8891 ± 1.6731,16.5560 ± 6.3580,8.76x,1.863e-09
svmguide1,CVXOPT,False,0.01,0.0,0.4891,512,1042,0.51,0.0031 ± 0.0011,0.1057 ± 0.0682,0.1088 ± 0.0683,0.2528 ± 0.1523,2.32x,9.22e-06
svmguide1,CVXOPT,False,0.01,0.05,0.4588,608,852,0.29,0.0031 ± 0.0007,0.1338 ± 0.0705,0.1369 ± 0.0707,0.2398 ± 0.2637,1.75x,0.002367
svmguide1,CVXOPT,False,0.05,0.0,0.5763,512,2374,0.78,0.0031 ± 0.0008,0.1058 ± 0.0571,0.1089 ± 0.0573,0.5605 ± 0.5617,5.15x,3.148e-07
svmguide1,CVXOPT,False,0.05,0.05,0.5362,559,2932,0.81,0.0030 ± 0.0006,0.1160 ± 0.0444,0.1190 ± 0.0445,0.7630 ± 0.7296,6.41x,3.725e-09
svmguide1,CVXOPT,False,0.1,0.0,0.6005,729,4497,0.84,0.0032 ± 0.0007,0.1269 ± 0.0483,0.1301 ± 0.0487,0.9580 ± 0.5248,7.37x,1.863e-09
svmguide1,CVXOPT,False,0.1,0.05,0.5542,718,4021,0.82,0.0032 ± 0.0007,0.1474 ± 0.0647,0.1506 ± 0.0651,0.9650 ± 0.4084,6.41x,1.863e-09
svmguide1,CVXOPT,True,0.01,0.0,0.4891,427,1195,0.64,0.0031 ± 0.0007,0.1057 ± 0.0618,0.1088 ± 0.0622,0.2819 ± 0.3215,2.59x,1.024e-07
svmguide1,CVXOPT,True,0.01,0.05,0.4589,613,1282,0.52,0.0031 ± 0.0007,0.1369 ± 0.0875,0.1400 ± 0.0876,0.3344 ± 0.2504,2.39x,3.904e-05
svmguide1,CVXOPT,True,0.05,0.0,0.5762,530,1959,0.73,0.0032 ± 0.0008,0.1082 ± 0.0520,0.1114 ± 0.0521,0.4581 ± 0.3256,4.11x,9.313e-09
svmguide1,CVXOPT,True,0.05,0.05,0.5363,604,3096,0.80,0.0033 ± 0.0008,0.1369 ± 0.0616,0.1402 ± 0.0621,0.7302 ± 0.4744,5.21x,1.304e-08
svmguide1,CVXOPT,True,0.1,0.0,0.6002,811,4194,0.81,0.0032 ± 0.0011,0.1359 ± 0.0516,0.1391 ± 0.0523,0.9621 ± 0.7076,6.92x,1.863e-09
svmguide1,CVXOPT,True,0.1,0.05,0.5543,791,3495,0.77,0.0031 ± 0.0008,0.1509 ± 0.0579,0.1541 ± 0.0585,0.8424 ± 0.5895,5.47x,1.863e-09
svmguide1,SCS,False,0.01,0.0,0.4891,681,1042,0.35,0.0036 ± 0.0014,0.1308 ± 0.0693,0.1345 ± 0.0701,0.2714 ± 0.2328,2.02x,0.000345
svmguide1,SCS,False,0.01,0.05,0.4588,712,852,0.16,0.0040 ± 0.0035,0.1588 ± 0.0947,0.1628 ± 0.0977,0.2348 ± 0.2430,1.44x,0.03842
svmguide1,SCS,False,0.05,0.0,0.5763,628,2374,0.74,0.0040 ± 0.0020,0.1217 ± 0.0534,0.1257 ± 0.0544,0.5755 ± 0.5325,4.58x,1.304e-07
svmguide1,SCS,False,0.05,0.05,0.5362,646,2932,0.78,0.0034 ± 0.0006,0.1255 ± 0.0453,0.1288 ± 0.0456,0.6985 ± 0.5870,5.42x,1.863e-09
svmguide1,SCS,False,0.1,0.0,0.6005,832,4497,0.81,0.0033 ± 0.0007,0.1251 ± 0.0356,0.1283 ± 0.0361,0.9947 ± 0.5651,7.75x,1.863e-09
svmguide1,SCS,False,0.1,0.05,0.5542,793,4021,0.80,0.0036 ± 0.0009,0.1436 ± 0.0450,0.1471 ± 0.0454,0.9798 ± 0.5325,6.66x,1.863e-09
svmguide1,SCS,True,0.01,0.0,0.4891,455,1195,0.62,0.0030 ± 0.0007,0.0999 ± 0.0491,0.1029 ± 0.0494,0.2861 ± 0.3160,2.78x,9.313e-09
svmguide1,SCS,True,0.01,0.05,0.4589,652,1282,0.49,0.0033 ± 0.0009,0.1394 ± 0.0841,0.1427 ± 0.0842,0.3339 ± 0.2654,2.34x,5.974e-06
svmguide1,SCS,True,0.05,0.0,0.5762,526,1959,0.73,0.0029 ± 0.0005,0.0963 ± 0.0411,0.0992 ± 0.0412,0.4133 ± 0.2941,4.17x,3.725e-09
svmguide1,SCS,True,0.05,0.05,0.5363,608,3096,0.80,0.0033 ± 0.0008,0.1343 ± 0.0588,0.1377 ± 0.0592,0.7686 ± 0.4979,5.58x,3.539e-08
svmguide1,SCS,True,0.1,0.0,0.6002,837,4194,0.80,0.0031 ± 0.0008,0.1258 ± 0.0387,0.1289 ± 0.0392,0.9023 ± 0.6734,7.00x,1.863e-09
svmguide1,SCS,True,0.1,0.05,0.5543,800,3495,0.77,0.0032 ± 0.0009,0.1472 ± 0.0561,0.1503 ± 0.0568,0.7816 ± 0.4902,5.20x,3.725e-09
